*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SequencialSwitch
*Date=15:23:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;4.84189;-59.9778;180;Bottom;OI1
2;;;3.31566;-72.4061;0;Bottom;Via9
3;;;11.9464;-1.03026;0;Bottom;Via34
4;;;15.0019;-7.14582;180;Bottom;IO8
5;;;12.0734;-38.2413;0;Bottom;Via52
6;;;2.92944;-47.8933;0;Bottom;Via42
7;10k;0402 [SMD];10.4277;-87.7881;90;Top;R3
8;;;12.9676;-76.4701;0;Bottom;Via16
9;;;9.91443;-36.0823;0;Bottom;Via7
10;;;6.86643;-44.3373;0;Bottom;Via50
11;;SOT-23 [SMD];8.07565;-92.9961;180;Top;Q4
12;;THT;9.91965;-82.3121;90;Bottom;J9
13;;;17.9154;-29.8593;0;Bottom;Via41
14;;;12.4544;-35.8283;0;Bottom;Via37
15;1k;0402 [SMD];8.39565;-13.59;90;Top;R18
16;;SOT-23 [SMD];11.6317;-92.7421;180;Top;Q1
17;10nF;0603 [SMD, multilayer];9.82643;-24.906;180;Top;C3
18;;;9.15765;-85.8681;0;Bottom;Via15
19;;;2.92944;-49.2903;0;Bottom;Via49
20;;sod523;6.50565;-78.7561;0;Top;D5
21;;;12.0734;-40.6543;0;Bottom;Via51
22;;;10.6764;-29.9863;0;Bottom;Via29
23;;;4.83697;-18.7124;0;Bottom;IO3
24;;;2.92944;-34.5583;0;Bottom;Via43
25;10k;0402 [SMD];9.15765;-90.8361;-90;Top;R7
26;;;17.9154;-46.2423;0;Bottom;Via40
27;;;11.1844;-47.1313;0;Bottom;Via36
28;;;4.83741;-92.9625;0;Bottom;Reset
29;;;14.997;-45.1284;0;Bottom;IO5
30;;;4.84189;-7.14582;180;Bottom;IO4
31;;;6.86643;-37.8603;0;Bottom;Via23
32;;;3.94544;-29.8593;0;Bottom;Via30
33;1k;0402 [SMD];10.6817;-66.422;90;Top;R21
34;;;18.3016;-85.6141;0;Bottom;Via1
35;1k;0402 [SMD];11.4437;-13.59;90;Top;R17
36;1k;0402 [SMD];16.9047;-48.388;90;Top;R19
37;;;16.8994;-43.9563;0;Bottom;Via47
38;;;6.86643;-4.33226;0;Bottom;Via56
39;;;15.0019;-33.5618;180;Bottom;IO6
40;;;2.54844;-26.1763;0;Bottom;Via44
41;;SSOP;9.98315;-31.106;0;Top;IC2
42;10nF;0603 [SMD, multilayer];9.91967;-38.2041;90;Top;C7
43;;3 mm [THT];12.4598;-67.6511;180;Bottom;L3
